,n_HeavyAtomCount,LogP,n_SMILES
0,H04,M000,47
1,H04,M100,11
2,H04,M200,1
3,H04,P000,3
4,H04,P010,10
5,H04,P020,5
6,H04,P030,9
7,H04,P040,10
8,H04,P050,5
9,H04,P060,2
10,H04,P070,7
11,H04,P080,8
12,H04,P090,10
13,H04,P100,6
14,H04,P110,7
15,H04,P120,2
16,H04,P130,18
17,H04,P140,7
18,H04,P150,9
19,H04,P160,14
20,H04,P170,8
21,H04,P180,7
22,H04,P190,6
23,H04,P200,1
24,H04,P210,5
25,H04,P220,6
26,H04,P230,2
27,H04,P240,3
28,H04,P250,1
29,H04,P260,1
30,H04,P290,1
31,H04,P330,1
32,H04,P350,1
33,H05,M000,131
34,H05,M100,27
35,H05,M200,1
36,H05,M500,1
37,H05,P000,22
38,H05,P010,18
39,H05,P020,28
40,H05,P030,37
41,H05,P040,17
42,H05,P050,27
43,H05,P060,23
44,H05,P070,29
45,H05,P080,24
46,H05,P090,14
47,H05,P100,14
48,H05,P110,17
49,H05,P120,17
50,H05,P130,14
51,H05,P140,14
52,H05,P150,16
53,H05,P160,11
54,H05,P170,35
55,H05,P180,11
56,H05,P190,22
57,H05,P200,18
58,H05,P210,22
59,H05,P220,15
60,H05,P230,12
61,H05,P240,3
62,H05,P250,6
63,H05,P260,3
64,H05,P270,3
65,H05,P280,2
66,H05,P290,1
67,H05,P300,1
68,H05,P310,1
69,H05,P320,1
70,H05,P330,1
71,H06,M000,352
72,H06,M100,82
73,H06,M200,10
74,H06,M300,1
75,H06,P000,48
76,H06,P010,62
77,H06,P020,68
78,H06,P030,66
79,H06,P040,62
80,H06,P050,58
81,H06,P060,94
82,H06,P070,95
83,H06,P080,55
84,H06,P090,87
85,H06,P100,59
86,H06,P110,66
87,H06,P120,48
88,H06,P130,53
89,H06,P140,53
90,H06,P150,34
91,H06,P160,36
92,H06,P170,47
93,H06,P180,28
94,H06,P190,34
95,H06,P200,36
96,H06,P210,59
97,H06,P220,31
98,H06,P230,44
99,H06,P240,32
100,H06,P250,28
101,H06,P260,13
102,H06,P270,9
103,H06,P280,8
104,H06,P290,4
105,H06,P300,3
106,H06,P310,2
107,H06,P320,3
108,H06,P360,1
109,H06,P380,1
110,H06,P430,1
111,H06,P500,1
112,H07,M000,912
113,H07,M100,208
114,H07,M200,11
115,H07,P000,109
116,H07,P010,179
117,H07,P020,142
118,H07,P030,137
119,H07,P040,141
120,H07,P050,147
121,H07,P060,164
122,H07,P070,196
123,H07,P080,153
124,H07,P090,190
125,H07,P100,212
126,H07,P110,220
127,H07,P120,119
128,H07,P130,180
